date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:57	199525/199525	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2007:58:31%20GMT	https://www.vaticannews.va/fr.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/fr.html	(from )
09:07:58	1739/1739	---MC-	200	added ('OK')	text/plain	date:Thu,%2018%20Sep%202025%2007:25:59%20GMT	https://www.vaticannews.va/robots.txt		(from )
09:07:58	244971/244971	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:06:50%20GMT	https://www.vaticannews.va/it.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/it.html	(from https://www.vaticannews.va/fr.html)
09:07:58	206123/206123	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:03:55%20GMT	https://www.vaticannews.va/en.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/en.html	(from https://www.vaticannews.va/fr.html)
09:07:58	171833/171833	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:52%20GMT	https://www.vaticannews.va/de.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/de.html	(from https://www.vaticannews.va/fr.html)
09:07:59	239152/239152	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:18%20GMT	https://www.vaticannews.va/es.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/es.html	(from https://www.vaticannews.va/fr.html)
09:07:59	332157/332157	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:02:47%20GMT	https://www.vaticannews.va/pt.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/pt.html	(from https://www.vaticannews.va/fr.html)
09:07:59	192942/192942	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:53%20GMT	https://www.vaticannews.va/pl.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/pl.html	(from https://www.vaticannews.va/fr.html)
09:07:59	233165/233165	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:03:08%20GMT	https://www.vaticannews.va/be.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/be.html	(from https://www.vaticannews.va/fr.html)
09:08:00	107985/107985	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:53%20GMT	https://www.vaticannews.va/bg.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/bg.html	(from https://www.vaticannews.va/fr.html)
09:08:00	171731/171731	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:53%20GMT	https://www.vaticannews.va/cs.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/cs.html	(from https://www.vaticannews.va/fr.html)
09:08:00	165264/165264	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2008:07:54%20GMT	https://www.vaticannews.va/hr.html	C:/Users/2SND%20TECHNOLOGIES/Downloads/Church/www.vaticannews.va/hr.html	(from https://www.vaticannews.va/fr.html)
